Country/Region	location	continent	population
Afghanistan	Afghanistan	Asia	38928341
Albania	Albania	Europe	2877800
Algeria	Algeria	Africa	43851043
Andorra	Andorra	Europe	77265
Angola	Angola	Africa	32866268
Antigua and Barbuda	Antigua and Barbuda	North America	97928
Argentina	Argentina	South America	45195777
Armenia	Armenia	Asia	2963234
Australia	Australia	Oceania	25499881
Austria	Austria	Europe	9006400
Azerbaijan	Azerbaijan	Asia	10139175
Bahamas	Bahamas	North America	393248
Bahrain	Bahrain	Asia	1701583
Bangladesh	Bangladesh	Asia	164689383
Barbados	Barbados	North America	287371
Belarus	Belarus	Europe	9449321
Belgium	Belgium	Europe	11589616
Belize	Belize	North America	397621
Benin	Benin	Africa	12123198
Bhutan	Bhutan	Asia	771612
Bolivia	Bolivia	South America	11673029
Bosnia and Herzegovina	Bosnia and Herzegovina	Europe	3280815
Botswana	Botswana	Africa	2351625
Brazil	Brazil	South America	212559409
Brunei	Brunei	Asia	437483
Bulgaria	Bulgaria	Europe	6948445
Burkina Faso	Burkina Faso	Africa	20903278
Burundi	Burundi	Africa	11890781
Cambodia	Cambodia	Asia	16718971
Cameroon	Cameroon	Africa	26545864
Canada	Canada	North America	37742157
Cabo Verde	Cape Verde	Africa	555988
Central African Republic	Central African Republic	Africa	4829764
Chad	Chad	Africa	16425859
Chile	Chile	South America	19116209
China	China	Asia	1439323774
Colombia	Colombia	South America	50882884
Comoros	Comoros	Africa	869595
Congo (Brazzaville)	Congo	Africa	5518092
Costa Rica	Costa Rica	North America	5094114
Cote d'Ivoire	Cote d'Ivoire	Africa	26378275
Croatia	Croatia	Europe	4105268
Cuba	Cuba	North America	11326616
Cyprus	Cyprus	Europe	875899
Czechia	Czechia	Europe	10708982
Congo (Kinshasa)	Democratic Republic of Congo	Africa	89561404
Denmark	Denmark	Europe	5792203
Djibouti	Djibouti	Africa	988002
Dominica	Dominica	North America	71991
Dominican Republic	Dominican Republic	North America	10847904
Ecuador	Ecuador	South America	17643060
Egypt	Egypt	Africa	102334403
El Salvador	El Salvador	North America	6486201
Equatorial Guinea	Equatorial Guinea	Africa	1402985
Eritrea	Eritrea	Africa	3546427
Estonia	Estonia	Europe	1326539
Eswatini	Eswatini	Africa	1160164
Ethiopia	Ethiopia	Africa	114963583
Fiji	Fiji	Oceania	896444
Finland	Finland	Europe	5540718
France	France	Europe	68147687
Gabon	Gabon	Africa	2225728
Gambia	Gambia	Africa	2416664
Georgia	Georgia	Asia	3989175
Germany	Germany	Europe	83783945
Ghana	Ghana	Africa	31072945
