reportID	month	day	statefips	spend_accomodation_food	spend_arts_entertainment	spend_all	spend_general_merchandise	spend_grocery_food_store	spend_healthcare_social_assistance	spend_transportation_warehousing	spend_all_inchigh	spend_all_inclow	spend_all_incmiddle
1	1	13	1	-0.00891	0.0668	0.0215	0.0287	0.023	-0.0328	0.00117	0.0345	0.0125	0.0233
2	1	13	2	-0.0302	0.148	-0.0349	-0.153	-0.0348	-0.0211	0.103	0.00907	.	-0.112
3	1	13	4	-0.0196	-0.0761	-0.0125	-0.0284	-0.0102	-0.0331	0.00614	-0.0156	-0.0165	-0.00938
4	1	13	5	-0.014	-0.0241	-0.0363	-0.0465	0.0076	-0.0985	0.0209	-0.118	-0.0616	-0.0142
5	1	13	6	-0.00928	0.00559	-0.00554	-0.0127	-0.0203	-0.0293	0.00518	-0.00242	-0.00969	-0.00971
6	1	13	8	-0.00315	0.0113	0.00374	-0.00763	0.0006	-0.064	-0.00869	0.017	0.0199	-0.0141
7	1	13	9	-0.00486	-0.00355	-0.015	-0.0841	-0.00779	0.0597	-0.01	-0.0172	0.0177	-0.0195
8	1	13	10	0.0898	0.299	0.0326	0.0938	0.0577	0.19	0.0196	0.0656	0.0348	0.0118
9	1	13	12	-0.0122	-0.0657	-0.00703	-0.00786	0.00823	-0.0467	0.0253	-0.00538	-0.00555	-0.00812
10	1	13	13	-0.00219	0.0557	0.00124	0.00934	0.0101	-0.0127	0.0164	0.00112	0.0171	-0.00472
11	1	13	15	-0.054	-0.054	-0.0156	0.0028	-0.0309	0.1	0.0202	-0.0164	0.0122	-0.0185
12	1	13	16	-0.0104	-0.0459	-0.00661	-0.0218	0.00299	-0.0518	0.041	-0.141	-0.00696	-0.0037
13	1	13	17	-0.00832	0.0999	0.0248	0.0049	0.0211	0.0193	0.00975	0.0188	0.0404	0.0276
14	1	13	18	0.0685	0.186	0.0344	0.0468	0.0753	0.0494	0.0355	0.0596	0.0469	0.0283
15	1	13	19	-0.0424	-0.196	-0.0151	-0.0391	0.0482	-0.174	0.000263	-0.0231	0.00196	-0.0147
16	1	13	20	-0.0246	0.153	0.00135	-0.0752	0.0216	0.0872	-0.0214	0.0183	-0.0382	0.0187
17	1	13	21	0.029	0.0274	0.00945	0.0462	0.027	0.0532	0.00952	0.0578	0.0075	0.00608
18	1	13	22	0.033	0.165	-0.00195	-0.0151	0.00784	-0.0173	0.0344	-0.0375	0.00292	-0.0194
19	1	13	23	-0.0148	-0.0324	-0.000743	-0.0406	-0.000655	0.288	-0.03	-0.0221	-0.00498	0.00194
20	1	13	24	0.0855	0.0424	0.0424	0.0768	0.0758	-0.0371	-0.0268	0.0544	0.00714	0.0279
21	1	13	25	0.0149	-0.0811	0.00797	-0.00392	0.0235	-0.168	0.0256	0.0136	-0.109	0.00287
22	1	13	26	-0.0514	-0.0865	-0.00298	-0.0386	0.0306	-0.0864	0.0336	0.0319	-0.0137	-0.0049
23	1	13	27	-0.0204	-0.0378	-0.0124	-0.0125	0.0143	-0.0844	0.0284	-0.0156	-0.0498	-0.00794
24	1	13	28	-0.042	-0.0444	0.017	-0.0129	-0.0227	-0.061	0.0736	0.0271	0.0224	0.0272
25	1	13	29	0.125	-0.00849	0.0681	0.0785	0.0555	-0.00849	0.0352	0.0285	0.0719	0.0777
26	1	13	30	-0.00226	-0.178	0.0161	-0.139	-0.0232	0.116	-0.0438	0.0325	-0.0157	0.0276
27	1	13	31	-0.00443	0.0976	0.0067	0.0154	0.0287	-0.0605	0.0417	0.00694	-0.007	0.00953
28	1	13	32	-0.0191	-0.106	-0.0198	-0.0756	-0.0235	0.0625	0.0105	-0.0189	0.00425	-0.0243
29	1	13	33	-0.0104	-0.000729	0.00658	0.0204	0.0361	-0.043	-0.0204	0.00992	-0.063	0.00449
30	1	13	34	0.0209	-0.0172	0.0105	0.019	0.0195	0.00379	0.0225	0.00343	-0.00127	0.0247
31	1	13	35	0.0145	0.0296	-0.0198	-0.0244	-0.0562	0.107	-0.00412	0.0447	-0.011	-0.0291
32	1	13	36	-0.0108	-0.068	-0.0133	-0.0275	0.00458	-0.0227	-0.0441	-0.0198	-0.0196	-0.00825
33	1	13	37	0.0177	-0.0554	-0.00326	-0.00187	0.0171	0.0129	-0.00578	-0.0155	-0.0197	0.00397
34	1	13	38	-0.000949	-0.00492	-0.00786	0.00786	0.0199	-0.0413	0.0665	-0.0153	0.0125	-0.00848
35	1	13	39	0.0371	0.0474	0.0219	0.0406	0.0504	-0.0658	0.00888	-0.0045	0.0201	0.0261
36	1	13	40	-0.023	-0.102	0.0124	0.000715	0.00935	0.00895	0.00868	0.0598	0.0188	-0.0107
37	1	13	41	-0.0102	-0.0818	-0.00309	0.0135	0.0594	-0.00429	0.0483	-0.0101	-0.0331	0.011
38	1	13	42	0.027	-0.0594	0.00342	0.0207	0.0177	-0.0458	0.00321	-0.00231	0.00141	0.0129
39	1	13	44	0.00677	-0.0854	-0.0278	-0.00761	-0.0406	0.167	-0.018	-0.102	-0.00396	0.0117
40	1	13	45	0.0219	-0.0156	0.000866	-0.0124	0.00542	0.00724	-0.0131	0.0157	0.0131	-0.00648
41	1	13	46	-0.0469	-0.0171	-0.018	-0.0194	-0.0183	0.0954	0.0526	0.0313	-0.0667	-0.0202
42	1	13	47	-0.0144	0.00235	0.00352	-0.000331	0.000808	0.0612	0.0161	-0.00926	0.00869	0.00103
43	1	13	48	-0.0191	-0.0934	-0.0156	-0.0333	-0.0271	-0.0279	0.00534	-0.0115	-0.0111	-0.0225
44	1	13	49	-0.0349	-0.0726	-0.0266	0.0015	-0.0135	-0.0781	0.0247	-0.00835	-0.0434	-0.0341
45	1	13	50	-0.0141	0.24	0.0152	0.011	-0.00437	0.504	-0.0644	0.00466	.	0.00936
46	1	13	51	0.0907	0.0467	0.0337	0.0905	0.0672	-0.00779	0.0377	0.0475	0.00627	0.0277
47	1	13	53	-0.0381	-0.0348	-0.00286	-0.0412	0.0462	-0.0356	0.013	-0.000295	0.00719	-0.00843
48	1	13	54	0.0604	0.195	0.0124	0.0324	0.0325	-0.122	-0.0108	0.024	0.00645	0.0252
49	1	13	55	-0.0824	-0.06	-0.0264	-0.0536	0.0273	-0.0531	-0.00993	-0.0266	-0.00447	-0.0303
50	1	13	56	0.01	0.0203	-0.0115	0.015	-0.0125	-0.0445	-0.0474	-0.0185	0.0215	-0.0141
51	1	14	1	0.00281	0.0867	-0.00096	0.0287	-0.00245	-0.00447	-0.0405	0.00525	-0.00271	0.000993
52	1	14	2	0.0108	-0.181	-0.0396	-0.097	-0.0306	0.5	0.0156	-0.0227	.	-0.113
53	1	14	4	-0.0186	-0.123	-0.0072	-0.0195	-0.0197	-0.00452	-0.0079	0.000818	0.0032	-0.0159
54	1	14	5	0.0185	0.0779	-0.0101	-0.0219	0.0124	-0.0649	0.0135	-0.122	-0.0398	0.0152
55	1	14	6	-0.00514	-0.12	-0.00227	-0.00373	-0.00944	0.0322	-0.0292	0.00206	-0.00745	-0.00792
