tweetID	userID	anger_intensity	fear_intensity	sadness_intensity	joy_intensity	sentiment_category	emotion_category	keyword	date_stamp
1280780952109740000	1197127176015000000	0.336	0.355	0.386	0.432	positive	joy	covid	7/8/20
1341127029119440000	839746093126680000	0.504	0.531	0.456	0.232	negative	fear	covid	22-12-2020
1246119998327840000	424943966	0.465	0.438	0.399	0.271	negative	anger	covid	4/4/20
1321877681848280000	450495799	0.483	0.494	0.431	0.28	negative	fear	covid	30-10-2020
1251694695220110000	25801216	0.384	0.354	0.323	0.411	positive	joy	covid	19-04-2020
1342716218566910000	1270392809296620000	0.129	0.114	0.254	0.627	very positive	joy	covid	26-12-2020
1275471877348160000	987545063784960000	0.378	0.434	0.484	0.27	negative	sadness	covid	24-06-2020
1257420407017290000	172075130	0.457	0.451	0.408	0.342	negative	anger	covid	5/5/20
1238509085030580000	21306486	0.324	0.314	0.396	0.332	positive	joy	covid	14-03-2020
1248027349834250000	26587516	0.319	0.332	0.257	0.44	positive	joy	covid	4/9/20
1293120222879150000	2467720274	0.381	0.314	0.377	0.102	negative	anger	covid	8/11/20
1327102987622340000	55765879	0.552	0.471	0.468	0.375	negative	anger	covid	13-11-2020
1270423211239500000	1251153468816930000	0.318	0.39	0.351	0.369	positive	joy	covid	6/10/20
1309120654873110000	376964574	0.408	0.379	0.376	0.333	neutral	no specific emotion	covid	24-09-2020
1291335941005740000	4061842071	0.33	0.423	0.337	0.37	positive	joy	covid	8/6/20
1246510704838030000	14216661	0.438	0.372	0.396	0.345	neutral	no specific emotion	covid	4/5/20
1273276786764400000	1169924993293120000	0.501	0.475	0.458	0.139	negative	anger	covid	17-06-2020
1336360696557210000	1300501744741480000	0.556	0.59	0.556	0.25	negative	fear	covid	12/9/20
1302753062143090000	140091998	0.278	0.298	0.318	0.287	negative	sadness	covid	9/7/20
1257419165994000000	323303720	0.501	0.546	0.451	0.259	negative	fear	covid	5/5/20
1255047394510740000	787343807234859000	0.554	0.654	0.595	0.199	very negative	fear	covid	28-04-2020
1262021341340760000	1703029225	0.302	0.242	0.216	0.485	positive	joy	covid	17-05-2020
1321752241229990000	2283499188	0.491	0.515	0.489	0.263	negative	fear	covid	29-10-2020
1281980686681810000	1007086861	0.53	0.319	0.416	0.306	negative	anger	covid	7/11/20
1261023446399510000	2290061982	0.433	0.408	0.391	0.306	negative	anger	wuhan	15-05-2020
1250922033233440000	878455314609319000	0.529	0.543	0.46	0.204	negative	fear	corona	17-04-2020
1248055234787770000	3353256659	0.575	0.455	0.481	0.262	negative	anger	covid	4/9/20
1315797521076290000	875512915	0.348	0.389	0.386	0.254	negative	fear	covid	13-10-2020
1258946184732780000	707042107416928000	0.436	0.482	0.502	0.254	negative	sadness	covid	5/9/20
1238165801980390000	49741535	0.516	0.527	0.45	0.315	negative	fear	covid	13-03-2020
1316440561377820000	2956507118	0.42	0.479	0.436	0.349	negative	fear	covid	15-10-2020
1278856061068470000	398303841	0.42	0.371	0.357	0.396	positive	joy	covid	7/3/20
1291866833218390000	1023559214378230000	0.511	0.385	0.37	0.334	negative	anger	covid	8/8/20
1337468520276380000	1411627567	0.647	0.524	0.596	0.196	very negative	anger	covid	12/12/20
1286676787360030000	1700655764	0.382	0.435	0.338	0.389	neutral	no specific emotion	wuhan	24-07-2020
1312022700097960000	377951097	0.494	0.573	0.431	0.24	negative	fear	covid	10/2/20
1243616623312830000	889419352960712000	0.37	0.452	0.374	0.407	positive	joy	covid	28-03-2020
1303794394147860000	1284691310	0.399	0.398	0.334	0.37	positive	joy	covid	9/10/20
1293133774113380000	1177270375102760000	0.326	0.302	0.355	0.228	negative	sadness	covid	8/11/20
1289014979572690000	921498521223692000	0.466	0.48	0.397	0.266	negative	fear	covid	31-07-2020
1316890986463720000	8736882	0.52	0.613	0.534	0.108	very negative	fear	covid	16-10-2020
1341815006304870000	803773465559973000	0.368	0.297	0.383	0.495	positive	joy	covid	24-12-2020
1276700385789390000	3784640603	0.4	0.453	0.428	0.389	neutral	no specific emotion	covid	27-06-2020
1265702483202110000	582928870	0.366	0.461	0.483	0.319	neutral	no specific emotion	covid	28-05-2020
1344623396009750000	1155527921571970000	0.466	0.396	0.425	0.269	negative	anger	covid	31-12-2020
1284460931943200000	984386165066301000	0.321	0.334	0.332	0.456	positive	joy	covid	18-07-2020
1240836426989730000	763557177923481000	0.472	0.472	0.417	0.213	negative	anger	covid	20-03-2020
1326295030856900000	108972570	0.334	0.406	0.337	0.339	positive	joy	covid	11/11/20
1247674096500030000	525404349	0.477	0.442	0.401	0.258	negative	anger	covid	4/8/20
1258956976433870000	2755262634	0.402	0.401	0.364	0.378	neutral	no specific emotion	covid	5/9/20
1234925488902140000	1807432802	0.514	0.469	0.429	0.277	negative	anger	corona	3/4/20
1244229492622510000	1127701119419830000	0.262	0.292	0.292	0.489	positive	joy	covid	29-03-2020
1316252157323010000	603138035	0.353	0.3	0.246	0.399	positive	joy	covid	14-10-2020
1337153316703390000	1185690568677960000	0.648	0.531	0.544	0.166	very negative	anger	corona	12/11/20
1294274290435660000	813755313237196000	0.454	0.519	0.476	0.24	negative	fear	covid	14-08-2020
1242869050683890000	1960436676	0.502	0.51	0.473	0.244	negative	fear	corona	26-03-2020
1288979154919200000	1235613865125260000	0.377	0.336	0.381	0.374	negative	sadness	covid	31-07-2020
1305959451703350000	93212220	0.48	0.396	0.42	0.258	negative	anger	covid	16-09-2020
1313458512589180000	62819900	0.344	0.358	0.316	0.479	positive	joy	covid	10/6/20
1289488489491300000	229916769	0.467	0.374	0.407	0.255	negative	anger	covid	8/1/20
1313231535647070000	1932099728	0.362	0.32	0.319	0.441	positive	joy	covid	10/6/20
1300534286395850000	917983478	0.576	0.434	0.452	0.307	negative	anger	covid	9/1/20
1263468390670380000	388938674	0.46	0.475	0.456	0.345	neutral	no specific emotion	covid	21-05-2020
1247406449182920000	293590755	0.304	0.438	0.347	0.393	positive	joy	covid	4/7/20
1342816000513860000	527662942	0.408	0.418	0.387	0.321	neutral	no specific emotion	covid	26-12-2020
1327914557050920000	229245051	0.435	0.551	0.674	0.228	negative	sadness	covid	15-11-2020
1300179112154340000	38108253	0.424	0.502	0.496	0.254	negative	fear	covid	31-08-2020
1274168266748050000	1529622846	0.511	0.52	0.436	0.302	negative	fear	covid	20-06-2020
1247818137048960000	709480389929205000	0.566	0.542	0.456	0.296	negative	anger	covid	4/8/20
1319620711892340000	22942762	0.344	0.401	0.348	0.492	positive	joy	covid	23-10-2020
1338096253062670000	1174409669453860000	0.509	0.47	0.443	0.296	negative	anger	covid	13-12-2020
1279995845090390000	469561840	0.466	0.61	0.542	0.332	negative	fear	corona	7/6/20
1276140553248230000	1236556308070810000	0.341	0.321	0.327	0.374	positive	joy	wuhan	25-06-2020
1296160212534130000	37701556	0.354	0.409	0.36	0.429	positive	joy	covid	20-08-2020
1240271844810400000	731590553410883000	0.48	0.443	0.423	0.291	negative	anger	wuhan	18-03-2020
1343145285330100000	1104793181705710000	0.302	0.293	0.33	0.408	positive	joy	covid	27-12-2020
1270191651265410000	2696554908	0.495	0.428	0.377	0.252	negative	anger	covid	6/9/20
1299134539969810000	180200321	0.567	0.44	0.452	0.258	negative	anger	covid	28-08-2020
1289002302154690000	227682918	0.428	0.558	0.491	0.194	negative	fear	covid	31-07-2020
1328808808416640000	1312173504947640000	0.595	0.539	0.545	0.146	negative	anger	covid	18-11-2020
1240205781921750000	1391809380	0.446	0.412	0.413	0.363	neutral	no specific emotion	corona	18-03-2020
1276558301355020000	3325582392	0.556	0.458	0.529	0.276	negative	anger	covid	27-06-2020
1322405991393090000	529369953	0.421	0.484	0.421	0.226	negative	fear	covid	31-10-2020
1253509684843150000	523376060	0.356	0.455	0.399	0.209	negative	fear	covid	24-04-2020
1242215744357700000	53273753	0.447	0.466	0.44	0.284	negative	fear	covid	24-03-2020
1317476573365320000	29295613	0.434	0.453	0.39	0.365	neutral	no specific emotion	covid	17-10-2020
1334563010929700000	16783996	0.539	0.507	0.581	0.278	negative	sadness	covid	12/4/20
1252363213594750000	1221242276770340000	0.428	0.511	0.586	0.34	negative	sadness	covid	21-04-2020
1269501459701180000	3181539882	0.408	0.526	0.426	0.247	negative	fear	covid	6/7/20
1259487710512850000	216485769	0.347	0.577	0.406	0.377	positive	joy	covid	5/10/20
1325189753474570000	22107458	0.43	0.364	0.413	0.403	positive	joy	covid	11/8/20
1253050945744890000	190627935	0.394	0.401	0.327	0.41	positive	joy	covid	23-04-2020
1252976698204830000	16182706	0.401	0.521	0.432	0.358	positive	joy	covid	22-04-2020
1334515642385430000	741215844	0.608	0.533	0.523	0.204	negative	anger	covid	12/3/20
1280802671889380000	837291791305039000	0.476	0.497	0.48	0.23	negative	fear	covid	7/8/20
1315684093540080000	178416001	0.398	0.56	0.472	0.264	negative	fear	covid	13-10-2020
1343290401533390000	1061580591391480000	0.387	0.355	0.366	0.408	positive	joy	covid	28-12-2020
1325173211206570000	250147671	0.443	0.509	0.423	0.271	negative	fear	covid	11/8/20
1255092587444050000	1267186712	0.484	0.428	0.359	0.228	negative	anger	covid	28-04-2020
1244243596703750000	185543168	0.359	0.326	0.387	0.34	positive	joy	covid	29-03-2020
1261069986593990000	1012030412	0.498	0.513	0.466	0.273	negative	fear	corona	15-05-2020
1279752422613810000	484873285	0.517	0.591	0.515	0.231	negative	fear	covid	7/5/20
1252634739489580000	1319657864	0.351	0.318	0.283	0.497	positive	joy	covid	22-04-2020
1238258585253090000	889635502097403000	0.394	0.394	0.34	0.437	neutral	no specific emotion	covid	13-03-2020
1306146210185690000	1053575252855330000	0.455	0.498	0.448	0.33	negative	fear	corona	16-09-2020
1242499874173730000	305739049	0.321	0.312	0.304	0.413	positive	joy	covid	25-03-2020
1296502561407510000	795541457490837000	0.539	0.496	0.505	0.151	negative	anger	corona	21-08-2020
1344687304288330000	165053967	0.371	0.3	0.286	0.438	positive	joy	covid	1/1/21
1303380628658880000	194297917	0.374	0.51	0.409	0.325	neutral	no specific emotion	covid	9/9/20
1255157567552130000	1019999496728720000	0.375	0.394	0.351	0.468	positive	joy	covid	28-04-2020
1337138924339270000	241774547	0.278	0.287	0.251	0.557	positive	joy	covid	12/11/20
1284851405442820000	997533303560327000	0.266	0.311	0.386	0.415	positive	joy	nCoV	19-07-2020
1280760624847420000	321649323	0.372	0.473	0.319	0.352	positive	joy	covid	7/8/20
1336941029333860000	2255683281	0.526	0.351	0.39	0.386	negative	anger	covid	12/10/20
1244556282314530000	930441270	0.427	0.462	0.487	0.259	negative	sadness	covid	30-03-2020
1276505253614160000	1178850282828170000	0.488	0.484	0.406	0.282	negative	anger	covid	26-06-2020
1314647919752950000	203232961	0.376	0.35	0.344	0.324	neutral	no specific emotion	covid	10/10/20
1298898214335020000	1251380052182400000	0.516	0.538	0.498	0.261	negative	fear	covid	27-08-2020
1241641737677750000	854626400690728000	0.457	0.447	0.421	0.3	negative	anger	covid	22-03-2020
1284377760522280000	953371831485988000	0.547	0.601	0.53	0.101	negative	fear	covid	18-07-2020
1249225613140820000	243045287	0.502	0.496	0.442	0.199	negative	anger	corona	4/12/20
1250782471874110000	19680385	0.391	0.37	0.302	0.298	positive	joy	covid	16-04-2020
1240099729431840000	1080856710	0.461	0.424	0.436	0.318	negative	anger	corona	18-03-2020
1323005671982450000	1274106466446780000	0.465	0.427	0.394	0.261	negative	anger	covid	11/2/20
1262265063555170000	2646761006	0.456	0.397	0.414	0.406	neutral	no specific emotion	covid	18-05-2020
1309068754303800000	9979022	0.445	0.48	0.408	0.313	negative	fear	covid	24-09-2020
1287836403485870000	2311249925	0.351	0.256	0.402	0.297	neutral	no specific emotion	covid	28-07-2020
1242680578555730000	233513631	0.497	0.468	0.456	0.251	negative	anger	covid	25-03-2020
1335790827675770000	2820188082	0.403	0.286	0.365	0.349	negative	anger	corona	12/7/20
1284615399632440000	745128944714678000	0.392	0.423	0.424	0.361	neutral	no specific emotion	covid	19-07-2020
1316028941564550000	794151294609059000	0.44	0.458	0.455	0.32	neutral	no specific emotion	covid	13-10-2020
1284143625706840000	2570420317	0.404	0.402	0.373	0.269	negative	anger	covid	17-07-2020
1238620827886720000	630375860	0.466	0.564	0.485	0.273	negative	fear	corona	14-03-2020
1240054241286380000	915744060	0.508	0.504	0.556	0.324	negative	sadness	corona	18-03-2020
1278404273039120000	534788190	0.438	0.379	0.389	0.32	neutral	no specific emotion	covid	7/2/20
1283986614302250000	782800757556936000	0.444	0.434	0.38	0.404	negative	anger	covid	17-07-2020
1237078821867670000	2342550996	0.507	0.508	0.444	0.292	negative	fear	covid	3/10/20
1293226690143890000	19340073	0.435	0.467	0.365	0.286	neutral	no specific emotion	covid	8/12/20
1240961440879720000	1215366555187340000	0.414	0.44	0.39	0.353	neutral	no specific emotion	covid	20-03-2020
1263819494054490000	41837823	0.495	0.462	0.417	0.317	negative	anger	covid	22-05-2020
