country_name	date_stamp	total_vaccinations	people_fully_vaccinated	daily_vaccinations	total_vaccinations_per_hundred	people_fully_vaccinated_per_hundred	daily_vaccinations_per_million
Brazil	3/18/21	13013331	3303805	324639	6.12	1.55	1527
Brazil	3/19/21	13335728	3365497	312314	6.27	1.58	1469
Brazil	3/20/21	13479165	3380095	302425	6.34	1.59	1423
Brazil	3/21/21	13562176	3393203	305644	6.38	1.6	1438
Brazil	3/22/21	14116560	3507089	317286	6.64	1.65	1493
Brazil	3/23/21	15209201	3649714	417182	7.16	1.72	1963
Brazil	3/24/21	15943964	3795195	465953	7.5	1.79	2192
Brazil	3/25/21	16557071	3917526	506249	7.79	1.84	2382
Brazil	3/26/21	17032868	3979754	528163	8.01	1.87	2485
Brazil	3/27/21	17519083	4031876	577131	8.24	1.9	2715
