country_name	date_stamp	total_vaccinations	people_fully_vaccinated	daily_vaccinations	total_vaccinations_per_hundred	people_fully_vaccinated_per_hundred	daily_vaccinations_per_million
Afghanistan	2/22/21	0			0		
Afghanistan	2/23/21			1367			35
Afghanistan	2/24/21			1367			35
Afghanistan	2/25/21			1367			35
Afghanistan	2/26/21			1367			35
Afghanistan	2/27/21			1367			35
Afghanistan	2/28/21	8200		1367	0.02		35
Afghanistan	3/1/21			1580			41
Afghanistan	3/2/21			1794			46
Afghanistan	3/3/21			2008			52
Afghanistan	3/4/21			2221			57
Afghanistan	3/5/21			2435			63
Afghanistan	3/6/21			2649			68
Afghanistan	3/7/21			2862			74
Afghanistan	3/8/21			2862			74
Afghanistan	3/9/21			2862			74
Afghanistan	3/10/21			2862			74
Afghanistan	3/11/21			2862			74
Afghanistan	3/12/21			2862			74
Afghanistan	3/13/21			2862			74
Afghanistan	3/14/21			2862			74
Afghanistan	3/15/21			2862			74
Afghanistan	3/16/21	54000		2862	0.14		74
Africa	1/9/21	0			0		
Africa	1/10/21			500			0
Africa	1/11/21			500			0
Africa	1/12/21			500			0
Africa	1/13/21	2000		500	0		0
Africa	1/14/21			600			0
Africa	1/15/21	4000		667	0		0
Africa	1/16/21	7000		1000	0		1
Africa	1/17/21			1118			1
Africa	1/18/21			1236			1
Africa	1/19/21	10976		1354	0		1
Africa	1/20/21	13163		1595	0		1
Africa	1/21/21			1718			1
Africa	1/22/21	16890		1841	0		1
Africa	1/23/21	18353		1622	0		1
Africa	1/24/21	18353		1433	0		1
Africa	1/25/21	19889		1463	0		1
Africa	1/26/21	22712		1677	0		1
Africa	1/27/21	25587		1775	0		1
Africa	1/28/21	28779		1965	0		1
Africa	1/29/21	30861		1996	0		1
Africa	1/30/21	122206		14836	0.01		11
Africa	1/31/21	158206		19979	0.01		15
Africa	2/1/21	236712		30975	0.02		23
Africa	2/2/21	295127		38916	0.02		29
Africa	2/3/21	347149	5	45937	0.03	0	34
Africa	2/4/21	390474	5	51671	0.03	0	39
Africa	2/5/21	446986	5	59446	0.03	0	44
Africa	2/6/21	504800	1586	54656	0.04	0	41
Africa	2/7/21			55849			42
Africa	2/8/21	593502	3980	50970	0.04	0	38
Africa	2/9/21	661263	6700	52305	0.05	0	39
Africa	2/10/21	795836	10335	64098	0.06	0	48
Africa	2/11/21	908796	13867	74046	0.07	0	55
Africa	2/12/21	1165581	13867	102656	0.09	0	77
Africa	2/13/21	1446178	14181	134483	0.11	0	100
Africa	2/14/21			151062			113
Africa	2/15/21	1766999	16441	167642	0.13	0	125
Africa	2/16/21	1965819	18176	186365	0.15	0	139
Africa	2/17/21	2147659	19512	193118	0.16	0	144
Africa	2/18/21	2303964	22925	199310	0.17	0	149
Africa	2/19/21	2513999	32990	192631	0.19	0	144
Africa	2/20/21	2616931	45489	167250	0.2	0	125
Africa	2/21/21	2622421	50463	145119	0.2	0	108
Africa	2/22/21	2745898	68325	139843	0.2	0.01	104
Africa	2/23/21	2854362	86927	126935	0.21	0.01	95
Africa	2/24/21	3153546	102499	143698	0.24	0.01	107
Africa	2/25/21	3434869	119792	161558	0.26	0.01	121
Africa	2/26/21	3677524	183604	166218	0.27	0.01	124
Africa	2/27/21	3866267	252758	178477	0.29	0.02	133
Africa	2/28/21	3873994	255982	178796	0.29	0.02	133
Africa	3/1/21	4091848	330257	192279	0.31	0.02	143
Africa	3/2/21	4252773	394124	199773	0.32	0.03	149
Africa	3/3/21	4424168	468861	181517	0.33	0.03	135
Africa	3/4/21	4570159	529681	162184	0.34	0.04	121
Africa	3/5/21	4808230	624742	161529	0.36	0.05	120
Africa	3/6/21	5013197	705135	163847	0.37	0.05	122
Africa	3/7/21	5053898	705135	168558	0.38	0.05	126
Africa	3/8/21	5402174	779759	187189	0.4	0.06	140
Africa	3/9/21	5542597	850734	184261	0.41	0.06	137
Africa	3/10/21	5882799	1010055	208376	0.44	0.08	155
Africa	3/11/21	6071207	1137129	214435	0.45	0.08	160
Africa	3/12/21	6381226	1397210	224714	0.48	0.1	168
Africa	3/13/21	6784874	1644318	253097	0.51	0.12	189
Africa	3/14/21	6801397	1644318	249643	0.51	0.12	186
Africa	3/15/21	7194432	1942667	256037	0.54	0.14	191
Africa	3/16/21	7429911	2146524	269616	0.55	0.16	201
Africa	3/17/21	7631610	2312736	249830	0.57	0.17	186
Africa	3/18/21	7818857	2321849	249664	0.58	0.17	186
Africa	3/19/21	8126953	2563824	249390	0.61	0.19	186
Africa	3/20/21	8219312	2634856	204920	0.61	0.2	153
Africa	3/21/21	8240860	2634856	205638	0.61	0.2	153
Africa	3/22/21	8363101	2728498	166953	0.62	0.2	125
Africa	3/23/21	8518239	2820695	155475	0.64	0.21	116
Africa	3/24/21	9340870	3089404	244180	0.7	0.23	182
Africa	3/25/21	9628107	3329532	258464	0.72	0.25	193
Africa	3/26/21	9896635	3503504	252812	0.74	0.26	189
