country_name	date_stamp	vaccine_type	total_vaccinations
Chile	12/24/20	Pfizer/BioNTech	420
Chile	12/25/20	Pfizer/BioNTech	5198
Chile	12/26/20	Pfizer/BioNTech	8338
Chile	12/27/20	Pfizer/BioNTech	8649
Chile	12/28/20	Pfizer/BioNTech	8649
Chile	12/29/20	Pfizer/BioNTech	8649
Chile	12/30/20	Pfizer/BioNTech	8649
Chile	12/31/20	Pfizer/BioNTech	8649
Chile	1/1/21	Pfizer/BioNTech	8649
Chile	1/2/21	Pfizer/BioNTech	8649
Chile	1/3/21	Pfizer/BioNTech	8649
Chile	1/4/21	Pfizer/BioNTech	9054
Chile	1/5/21	Pfizer/BioNTech	10497
Chile	1/6/21	Pfizer/BioNTech	10702
Chile	1/7/21	Pfizer/BioNTech	10702
Chile	1/8/21	Pfizer/BioNTech	10702
Chile	1/9/21	Pfizer/BioNTech	10702
Chile	1/10/21	Pfizer/BioNTech	10702
Chile	1/11/21	Pfizer/BioNTech	10702
Chile	1/12/21	Pfizer/BioNTech	10702
Chile	1/13/21	Pfizer/BioNTech	11732
Chile	1/14/21	Pfizer/BioNTech	18646
Chile	1/15/21	Pfizer/BioNTech	22077
Chile	1/16/21	Pfizer/BioNTech	22167
Chile	1/17/21	Pfizer/BioNTech	22167
Chile	1/18/21	Pfizer/BioNTech	33212
Chile	1/19/21	Pfizer/BioNTech	52569
Chile	1/20/21	Pfizer/BioNTech	61878
Chile	1/21/21	Pfizer/BioNTech	64940
Chile	1/22/21	Pfizer/BioNTech	65352
Chile	1/23/21	Pfizer/BioNTech	65352
Chile	1/24/21	Pfizer/BioNTech	65352
Chile	1/25/21	Pfizer/BioNTech	66772
Chile	1/26/21	Pfizer/BioNTech	67388
Chile	1/27/21	Pfizer/BioNTech	67423
Chile	1/28/21	Pfizer/BioNTech	67423
Chile	1/29/21	Pfizer/BioNTech	67428
Chile	1/30/21	Pfizer/BioNTech	67428
Chile	1/31/21	Pfizer/BioNTech	67428
Chile	2/1/21	Pfizer/BioNTech	67428
Chile	2/2/21	Pfizer/BioNTech	67434
Chile	2/2/21	Sinovac	13189
Chile	2/3/21	Pfizer/BioNTech	67434
Chile	2/3/21	Sinovac	183529
Chile	2/4/21	Pfizer/BioNTech	69562
Chile	2/4/21	Sinovac	357550
Chile	2/5/21	Pfizer/BioNTech	70250
Chile	2/5/21	Sinovac	526158
Chile	2/6/21	Pfizer/BioNTech	70255
